Instance,AireRect,AirePoly,AireCirle,QualiteRect,TempsRect,QualiteCercle,TempsCercle
test-1029.points,140663.9922401847,110103.5,147934.45646488975,0.2775614965935207,686865,0.3435944948606515,310058
test-103.points,134848.25599999996,105284.5,124410.21067480941,0.28079875005342636,726563,0.18165742036870958,291709
test-1030.points,140223.55386081984,112153.5,134614.10361366902,0.25028245985029307,813999,0.20026663112313958,306015
test-1031.points,139223.527851459,109646.5,133316.62584773646,0.26974894640010394,795020,0.2158767115022957,624163
test-1032.points,133680.75040788064,108018.5,134614.10361366902,0.23757273437309934,6823143,0.24621341356961102,265767
test-1033.points,140707.97663999998,109170.5,126923.48479768123,0.28888277181106603,390425,0.16261705128840886,256744
test-1034.points,129038.42176722968,108537.5,126923.48479768123,0.18888330546796905,409159,0.16939753354998244,307681
test-1035.points,141613.97018393036,111593.0,166190.25137490008,0.2690219833137415,488888,0.4892533705062152,396313
test-1036.points,131128.4950813089,104804.0,120687.42338030548,0.25117834320549703,266386,0.15155359891135345,179867
test-1037.points,129222.44635193131,107778.0,123162.99839133426,0.1989686796185799,1067036,0.14274711343070257,351010
test-1038.points,135572.12852897472,105698.5,128189.54663707792,0.2826305815974184,437173,0.21278491782833164,218359
test-1039.points,122156.58823529413,99985.5,117021.1847535662,0.22174303509302984,414736,0.1703815528608268,226935
test-104.points,139434.77524326052,108680.5,137227.90870145577,0.28297877947985617,295262,0.26267277663845645,246990
test-1040.points,138692.46284470242,109368.5,139866.84653047117,0.26812073718394624,316297,0.27885859758953613,250469
test-1041.points,134870.2521076965,105889.5,146574.14684588538,0.273688629256881,373812,0.38421795216603516,297012
test-1042.points,135988.26063348417,108482.0,150673.9252588201,0.2535559874770392,332960,0.3889301935696252,232215
test-1043.points,142994.74111675128,113273.5,124410.21067480941,0.2623847688713712,1085097,0.09831699978202679,284466
test-1044.points,133742.94420159428,108093.5,135917.8645649088,0.23728942259797559,479129,0.25741015477257023,186263
test-1045.points,144168.7152068474,113919.5,145220.12041218817,0.2655314955459549,418982,0.27476086545488854,254340
test-1046.points,140055.72645147078,109573.0,150673.9252588201,0.2781955997505843,574202,0.37510084837341395,425082
test-1047.points,135514.08260168426,111111.0,124410.21067480941,0.2196279630431215,285283,0.11969301576630054,179791
test-1048.points,130471.78359949759,103528.0,130740.51987179283,0.2602560041679314,300747,0.2628517876496488,251956
test-1049.points,135508.67584807196,107044.5,138544.23602330987,0.26590974639586307,261483,0.29426767394223785,180737
test-105.points,138011.2009512485,110753.0,126923.48479768123,0.24611704379338262,258681,0.14600493709137652,175840
test-1050.points,134202.5602858919,108431.0,130740.51987179283,0.23767705071328216,495088,0.20574853936413784,215871
test-1051.points,136238.16243072794,108547.0,130740.51987179283,0.25510757948840546,386902,0.20446000231966632,312035
test-1052.points,136367.86379385012,110819.0,120687.42338030548,0.23054587926122894,435235,0.08904992266944722,208109
test-1053.points,137104.5487804878,107383.0,128189.54663707792,0.2767807639988433,237099,0.19376015418714254,173687
test-1054.points,137022.95105986093,107120.0,157632.55298652145,0.27915376269474357,528228,0.47155109210718305,293942
test-1055.points,136520.77916741106,107318.0,139866.84653047117,0.2721144557987576,307561,0.30329345059049895,199214
test-1056.points,139439.74652987326,110815.5,119459.06065275188,0.25830544039302494,307670,0.07799956371402805,206348
test-1057.points,137156.08562314213,109932.0,149301.04926920132,0.24764477698160814,356579,0.3581218323072566,455492
test-1058.points,132877.35041798005,106798.5,150673.9252588201,0.24418742227634338,427936,0.4108243585707674,330382
test-1059.points,138644.07016145106,108337.5,153438.52679397908,0.27974219602123984,404283,0.41630115882292906,232020
test-106.points,137680.5856151176,112079.5,145220.12041218817,0.2284189848733944,537464,0.2956885104964617,290505
test-1060.points,134631.6652919589,106813.0,141195.74022293967,0.26044269229362427,261313,0.3218965877087965,204820
test-1061.points,140329.03717472122,111421.0,146574.14684588538,0.25944873205877905,416567,0.3154983965848932,283467
test-1062.points,134460.0,109499.5,146574.14684588538,0.22795081256078786,378312,0.3385827957742764,250839
test-1063.points,142691.06021282112,111492.0,147934.45646488975,0.2798322768702788,273138,0.3268616265282689,199618
test-1064.points,138108.01062473436,110315.0,139866.84653047117,0.251942261929333,408796,0.26788602212275014,267968
test-1065.points,129000.10766721042,104768.0,146574.14684588538,0.23129302522917716,524622,0.3990354578295412,336947
test-1066.points,137026.86965977945,108668.5,160459.98637475228,0.26096218922483927,225498,0.4766007295099526,197033
test-1067.points,140702.00623369057,112046.5,124410.21067480941,0.25574655374055033,378949,0.1103444612264497,259730
test-1068.points,137985.1301115242,109559.5,130740.51987179283,0.25945381378633714,237101,0.19332892055725726,189252
test-1069.points,143207.02000000005,112793.5,179450.91396570255,0.26963894196030846,292476,0.5909685750127671,203150
test-107.points,144293.68702101355,114123.0,123162.99839133426,0.2643699080905124,489410,0.07921276509848374,246457
test-1070.points,141678.1761658031,113805.5,128189.54663707792,0.24491501874516697,313173,0.12639148931359134,232167
test-1071.points,136888.68292682926,108386.5,133316.62584773646,0.26296801655952784,378615,0.23001135609819,269946
test-1072.points,128553.93991897785,106196.0,118236.98111050545,0.21053467097609935,469827,0.11338450704833947,256063
test-1073.points,134612.95218395232,108895.0,115811.67158193413,0.23617202060656894,343687,0.06351688858013804,500585
test-1074.points,135979.44483985772,110231.5,130740.51987179283,0.2335806447327462,313316,0.18605407593830092,357501
test-1075.points,139040.9407616362,110484.0,130740.51987179283,0.25847127875200204,407473,0.18334346938735768,130146
test-1076.points,132193.4989741214,108347.0,137227.90870145577,0.22009376331713293,403971,0.2665593759075542,140906
test-1077.points,138389.2258345428,109114.0,150673.9252588201,0.2682994467670765,260111,0.38088536080448065,83983
test-1078.points,128295.4841767537,102831.0,119459.06065275188,0.24763431432888616,343632,0.16170280025237416,104370
test-1079.points,142569.85306828003,111811.5,153438.52679397908,0.2750911406096872,270996,0.372296470344992,84520
test-108.points,137693.56945698435,110927.5,134614.10361366902,0.2412933623942155,1276578,0.21353229463991363,91278
test-1080.points,134237.227537923,104719.0,142530.91710071533,0.28188034203843615,1194308,0.36107981455815397,180323
test-1081.points,129056.39296688288,103430.5,137227.90870145577,0.2477595386939333,1312370,0.32676443313583303,94253
test-1082.points,142581.30369176675,111544.0,132025.43126711104,0.27825166474007346,232930,0.18361750759441153,82001
test-1083.points,141396.0066619293,109148.0,128189.54663707792,0.29545210779793774,357902,0.17445621208888773,140737
test-1084.points,142679.23234964508,110639.5,123162.99839133426,0.28958674207353696,308767,0.11319192866321925,131248
test-1085.points,139587.5747460087,111772.0,132025.43126711104,0.24885995370941472,247150,0.18120308545173236,89200
test-1086.points,138822.0940395836,110903.0,126923.48479768123,0.2517433616726654,268012,0.144454927257885,122708
test-1087.points,141442.87189854807,112913.5,142530.91710071533,0.25266572994857195,404851,0.26230182485455966,141773
test-1088.points,128158.04744690467,101622.5,145220.12041218817,0.261118821588769,186991,0.42901542878976784,84529
test-1089.points,133294.07200587803,106553.5,129461.89166178179,0.25095911449063646,252315,0.21499426730967808,90064
test-109.points,138846.52789342214,109843.0,124410.21067480941,0.26404530005027316,452299,0.13261847067914578,130302
test-1090.points,144661.1833910035,113708.0,126923.48479768123,0.2722164086168386,420606,0.11622299924087343,138506
test-1091.points,141429.93110611045,111499.5,154830.25233951936,0.26843556344297914,197510,0.3886183555936964,72764
test-1092.points,142016.4974619289,112830.0,145220.12041218817,0.25867674786784445,226514,0.2870701091215826,80994
test-1093.points,138818.3536855425,110779.5,137227.90870145577,0.253105075267017,317658,0.23874822238280347,158625
test-1094.points,131772.0,105958.0,124410.21067480941,0.24362483248079436,230112,0.17414646062410966,86052
test-1095.points,142035.96828543107,112629.5,120687.42338030548,0.261090285275448,211903,0.07154363093421767,81459
test-1096.points,129882.25189263595,104543.0,143872.37716379817,0.2423811435738017,182013,0.37620287502557015,93722
test-1097.points,139716.46759629672,109836.0,123162.99839133426,0.2720462106804391,365617,0.12133543092733046,133568
test-1098.points,132960.25751072963,106989.5,129461.89166178179,0.2427411803095596,221343,0.21004296367196584,71162
test-1099.points,128095.24651291259,105566.5,130740.51987179283,0.21340810307164282,182715,0.23846598941702934,70321
test-11.points,129779.34132207054,106610.5,126923.48479768123,0.21732232117915729,348796,0.19053456083295006,137837
test-110.points,135867.13310580203,109451.0,153438.52679397908,0.24135122662928654,481722,0.4018924157292221,143464
test-1100.points,139092.6723883599,110792.5,121922.06929316626,0.2554340085146549,887674,0.10045417598814232,147572
test-1101.points,131654.8525861114,107759.5,163312.5525042118,0.22174706254308352,277141,0.515528120529622,132995
test-1102.points,131667.00102422142,109369.5,134614.10361366902,0.2038731184125504,850056,0.23081941138680362,142171
test-1103.points,143318.08867357168,112621.0,150673.9252588201,0.27256984641915527,310991,0.3378848106376262,83245
test-1104.points,139375.3152886836,109676.5,149301.04926920132,0.2707855856877599,234065,0.36128568352565327,72253
test-1105.points,136792.47406146402,108585.5,119459.06065275188,0.2597674096584168,187275,0.10013823809580358,157223
test-1106.points,137641.45805207329,109488.0,143872.37716379817,0.2571373853945025,270172,0.31404699294715566,108798
test-1107.points,130662.83094555877,107748.5,120687.42338030548,0.212664964668267,251579,0.12008448730428256,86123
test-1108.points,134950.63867779865,107406.5,177952.37426994022,0.2564475956091916,226653,0.6568119645453507,82058
test-1109.points,138673.32029339854,110098.0,152053.084433746,0.25954440855781713,212887,0.381070359441098,80476
test-111.points,137060.8547743322,113025.5,124410.21067480941,0.21265426628798112,226444,0.10072692157795715,80253
test-1110.points,140122.78376022528,111788.5,138544.23602330987,0.25346331474369266,332447,0.23934247282421595,127707
test-1111.points,140233.246404734,110569.5,139866.84653047117,0.26828145559791805,215008,0.2649677038466409,78793
test-1112.points,145678.42794759825,112791.0,156228.26107036683,0.29157847654155256,337083,0.3851128287750516,139420
test-1113.points,133158.31994715982,106729.5,126923.48479768123,0.2476243208031501,280285,0.1892071526399095,141399
test-1114.points,141124.34899328856,110558.0,139866.84653047117,0.2764734256524952,250857,0.2650992830050396,218660
test-1115.points,133726.22045028146,110427.5,149301.04926920132,0.21098657897970585,231870,0.35202779442803034,78100
test-1116.points,132772.94795836668,107318.5,149301.04926920132,0.23718602066155126,234478,0.39119582615486914,75555
test-1117.points,134107.5291319857,106200.0,130740.51987179283,0.26278276018818936,188931,0.23107834154230544,135874
test-1118.points,137517.96460176952,106855.0,149301.04926920132,0.2869586318073045,341220,0.3972303520584093,167081
test-1119.points,139227.23228755457,111418.5,154830.25233951936,0.2495881050952451,201268,0.38962786556558693,181079
test-112.points,145295.16396669188,114438.5,121922.06929316626,0.2696353409621053,322812,0.06539380796817729,127944
test-1120.points,141440.1820702403,113651.0,150673.9252588201,0.24451330890392775,1017768,0.32575978441738385,189584
test-1121.points,129725.79625779632,106224.0,119459.06065275188,0.22124751711285895,420886,0.12459576604865075,320605
test-1122.points,139221.52183620617,109359.0,135917.8645649088,0.27306871712621894,319966,0.2428594314588539,126540
test-1123.points,132510.0621774392,108782.5,120687.42338030548,0.21811929471596248,373245,0.10943785425326213,126504
test-1124.points,136347.71269861778,110065.0,145220.12041218817,0.23879264705962644,448946,0.3194032654539425,126415
test-1125.points,137774.89310504397,108136.5,139866.84653047117,0.2740831551330398,326673,0.2934286437093041,130166
test-1126.points,129081.04356846475,105320.0,120687.42338030548,0.22560808553422662,287951,0.1459117297788215,125112
test-1127.points,134492.5231441048,106345.5,124410.21067480941,0.2646752626496167,363076,0.16986812488360492,117555
test-1128.points,139464.05034136708,111877.5,129461.89166178179,0.2465781800752349,433799,0.15717540758223758,188466
test-1129.points,137251.23862742013,110219.0,132025.43126711104,0.24525933484626172,544433,0.19784639006987037,204755
test-113.points,135746.24178712218,108414.0,124410.21067480941,0.252109891592619,743036,0.14754746319487722,115377
test-1130.points,136580.73212806394,110178.5,119459.06065275188,0.23963143560734568,280993,0.08423204756601232,120795
test-1131.points,133879.63013698635,107849.0,156228.26107036683,0.24136181269169255,306360,0.4485833069418059,121224
test-1132.points,139883.47669964883,108412.0,130740.51987179283,0.29029513983367927,312483,0.2059598556598239,130044
test-1133.points,139856.77771139963,109689.0,130740.51987179283,0.27503010977764064,278756,0.1919200637419689,122548
test-1134.points,138907.3554404145,109745.5,123162.99839133426,0.2657225621133852,232999,0.12226012357075478,68895
test-1135.points,132938.39205254873,106488.0,149301.04926920132,0.24838847619026305,225419,0.40204576355271326,75901
test-1136.points,137972.31656457708,110760.0,137227.90870145577,0.24568722069860138,232232,0.23896631185857498,126969
test-1137.points,137360.35786658028,110743.0,150673.9252588201,0.24035250866041435,209208,0.36057290536485453,73804
test-1138.points,139938.2997589071,114367.5,124410.21067480941,0.22358449523603374,357835,0.0878108787444809,163422
test-1139.points,135775.71009094847,108613.5,129461.89166178179,0.25008134431676066,265894,0.1919502793094945,122921
test-114.points,136276.97409326423,109102.5,126923.48479768123,0.24907288186122445,481314,0.16334167225940033,115030
test-1140.points,135022.5677053824,107631.0,130740.51987179283,0.25449515200437034,263891,0.21471063050415617,120171
test-1141.points,137995.12953367873,109743.0,118236.98111050545,0.2574390123623258,309638,0.07739884193529845,130326
test-1142.points,142976.57854782537,113457.0,124410.21067480941,0.2601829640112585,311340,0.09654063367451471,121214
test-1143.points,142021.52388410337,114055.0,133316.62584773646,0.24520208569640412,379332,0.16888015297651537,121968
test-1144.points,141532.73002448253,112425.5,125663.70614359173,0.2589023844633338,222705,0.11775092077501759,87223
test-1145.points,132972.64762788697,108851.0,133316.62584773646,0.22160244396364726,157697,0.22476252719530798,72777
test-1146.points,135351.68233387358,108499.0,137227.90870145577,0.24749244079552435,207421,0.264785009091842,70612
test-1147.points,134619.59999999998,108510.0,126923.48479768123,0.24061929776057478,186816,0.16969389731528173,71947
test-1148.points,139545.2024520142,111745.5,129461.89166178179,0.24877693018523517,172856,0.15854232753696373,317249
test-1149.points,127313.35326532129,103821.0,133316.62584773646,0.22627747050520886,380290,0.2841007681272234,120292
test-115.points,141097.44807121664,112236.0,132025.43126711104,0.2571496495885157,221594,0.1763198195508664,71445
test-1150.points,133471.28065863845,107495.5,147934.45646488975,0.24164528430156107,318315,0.3761920867840025,122362
test-1151.points,141014.4528981429,112615.5,145220.12041218817,0.25217623593681937,254625,0.2895216059262551,117175
test-1152.points,134952.7378815081,110116.5,124410.21067480941,0.22554510796754434,200663,0.12980534865174076,73325
test-1153.points,139920.04143000333,111232.5,124410.21067480941,0.2579061104443694,324794,0.11846996763364492,118839
test-1154.points,139470.825293657,112039.0,135917.8645649088,0.24484175415397313,223590,0.21312993301358296,74732
test-1155.points,137422.19710906703,110694.5,146574.14684588538,0.24145460803442842,387481,0.32413215512862315,183153
test-1156.points,138067.65600000002,108402.5,119459.06065275188,0.2736574894490442,229483,0.10199543970620506,34695
test-1157.points,125952.0175198467,104461.5,120687.42338030548,0.2057266793971626,281986,0.15532922062487597,31864
test-1158.points,133837.52830188684,107368.5,150673.9252588201,0.24652508232756198,243696,0.40333454652733436,45642
test-1159.points,133571.71970802918,106835.5,183984.23216483265,0.25025595151451707,301778,0.722126373394917,1010501
test-116.points,132728.36485994904,107760.0,150673.9252588201,0.23170346009603793,262617,0.3982361289793994,44362
test-1160.points,140754.78611632274,111257.0,143872.37716379817,0.26513195678764245,240755,0.2931534839497576,46012
test-1161.points,133057.15839999993,106248.0,137227.90870145577,0.2523262404939379,213928,0.2915810998932289,31710
test-1162.points,135705.59292035396,110431.5,135917.8645649088,0.22886669945037386,468283,0.23078890139958985,32550
test-1163.points,139437.85927570635,112260.5,153438.52679397908,0.24209191368029126,255328,0.36680779788063544,34096
test-1164.points,140794.42003514944,112272.0,146574.14684588538,0.2540474921186888,329433,0.30552717370212856,44776
test-1165.points,131329.32135977337,106240.5,120687.42338030548,0.23615119808146012,173747,0.13598320207741388,32424
test-1166.points,137078.12058912456,109636.0,129461.89166178179,0.25030209592765673,350186,0.18083377414153912,46062
test-1167.points,140049.8528785784,109999.5,125663.70614359173,0.2731862679246577,193925,0.14240252131683984,31523
test-1168.points,139195.56912341915,109802.5,152053.084433746,0.2676903451507857,192998,0.3847870898544752,37627
test-1169.points,138433.1734197731,109341.5,172021.0473399627,0.2660625052681105,249593,0.573245724084293,45360
test-117.points,140061.96284254515,112169.0,129461.89166178179,0.24866908720364056,385844,0.154168189622639,45692
test-1170.points,134299.2647554806,108874.0,138544.23602330987,0.23352926093907267,282796,0.2725190222028204,45659
test-1171.points,135145.95574208317,108293.0,132025.43126711104,0.24796575717805558,304790,0.2191501876124129,47724
test-1172.points,132886.0651361452,107671.5,125663.70614359173,0.2341804947097903,1463820,0.16710277226184944,1048214
test-1173.points,139121.499482223,110895.5,145220.12041218817,0.25452790674304193,354761,0.30952221156122817,47915
test-1174.points,140675.61164447194,112782.0,142530.91710071533,0.2473232576516815,305591,0.26377362611689215,45017
test-1175.points,136927.53509127788,108973.0,134614.10361366902,0.2565271681175876,187391,0.23529776746229825,46804
test-1176.points,129770.13365853665,104452.5,124410.21067480941,0.24238418092948133,90408,0.1910697271468793,33658
test-1177.points,137178.46267479382,107804.5,170553.92357073628,0.27247436493647137,108876,0.5820668299629077,46269
test-1178.points,130807.5,107673.0,164748.26034690233,0.21485887827031847,144152,0.5300795960631015,46370
test-1179.points,138785.2321765553,111805.5,145220.12041218817,0.24130952570808484,111826,0.2988638341779981,42197
test-118.points,141063.204824761,112298.0,126923.48479768123,0.25615064226220396,134986,0.13023815916295245,48115
test-1180.points,133569.05627609242,107902.0,120687.42338030548,0.23787377690953293,138633,0.11849106949181176,44936
test-1181.points,140628.96736359,111432.0,145220.12041218817,0.26201600405260606,152957,0.3032173918819385,50435
test-1182.points,142798.52165007728,112445.5,126923.48479768123,0.2699354055971763,141593,0.128755573123702,45210
test-1183.points,133735.35833586394,108273.0,119459.06065275188,0.23516812442496238,130151,0.10331348214930669,43734
test-1184.points,138217.34365043245,108505.5,137227.90870145577,0.273827996280672,131954,0.2647092424020512,44268
test-1185.points,143008.50735577717,112292.5,143872.37716379817,0.27353569789413523,74647,0.28122873000243276,32657
test-1186.points,141677.90601719194,112775.0,130740.51987179283,0.25628823779376586,70623,0.15930409994939332,76011
test-1187.points,131673.00198619123,107752.5,129461.89166178179,0.22199486774034227,71751,0.20147459837852288,33921
test-1188.points,141496.10792168288,113298.0,125663.70614359173,0.24888442798357313,78416,0.10914319885251045,59282
test-1189.points,134644.7508821454,108003.0,139866.84653047117,0.2466760264265382,78091,0.2950274208167474,27626
test-119.points,135992.65864332605,106729.0,124410.21067480941,0.2741865720031673,90443,0.16566453986085694,27138
test-1190.points,139130.54048780492,110616.0,150673.9252588201,0.25777952997581655,111601,0.3621350008933617,40888
test-1191.points,139115.39675901723,109370.0,164748.26034690233,0.2719703461554104,72867,0.5063386700823107,31126
test-1192.points,137122.57388160867,110185.0,121922.06929316626,0.24447587132194637,69550,0.10652148017576124,28878
test-1193.points,140958.98612181956,110189.5,126923.48479768123,0.279241544083779,74613,0.15186551166564177,26888
test-1194.points,135616.70907401678,106467.0,160459.98637475228,0.2737910251440989,78866,0.5071335378544739,28443
test-1195.points,136195.53103448273,108525.0,124410.21067480941,0.25496918714105266,67670,0.14637374498787747,29051
test-1196.points,130471.69932885909,103428.0,133316.62584773646,0.26147367568607227,82269,0.28898002327934846,29873
test-1197.points,137758.4314231244,108569.5,124410.21067480941,0.2688501966309542,68973,0.14590387424469498,26851
test-1198.points,134036.97345132742,107100.0,123162.99839133426,0.25151235715525133,90876,0.14998131084345712,42218
test-1199.points,139704.59751037348,110370.0,123162.99839133426,0.2657841579267326,89579,0.11591010592855167,27029
test-12.points,134995.7623608284,110306.0,139866.84653047117,0.22382973148177254,177827,0.26798947047731914,68906
test-120.points,136078.81325169478,109755.0,125663.70614359173,0.23984158582018833,70636,0.14494743878266791,31408
test-1200.points,138687.9244725392,109537.5,143872.37716379817,0.2661227841838565,146548,0.3134531750660565,45469
test-1201.points,133605.9686389618,109866.0,129461.89166178179,0.21608112281289737,90307,0.17836174668943783,27649
test-1202.points,137260.25945945946,110439.5,123162.99839133426,0.24285477079721884,130816,0.11520785942832279,41871
test-1203.points,134778.46134715033,108981.0,132025.43126711104,0.23671521959929098,77979,0.21145365951047457,28137
test-1204.points,136087.83881799865,109025.0,132025.43126711104,0.24822599236871046,76476,0.21096474448164226,28981
test-1205.points,136208.7762904421,108441.0,130740.51987179283,0.25606344731644026,63955,0.20563735000408356,27522
test-1206.points,137848.83698786903,111225.0,147934.45646488975,0.23936917948185243,91063,0.3300468102035492,28337
test-1207.points,134438.42885352537,107007.0,132025.43126711104,0.25635172328469524,109623,0.2338018191997817,28027
test-1208.points,139484.43268682258,112450.0,123162.99839133426,0.2404129185133177,85663,0.09526899414259016,30347
test-1209.points,136679.47444941805,109191.0,126923.48479768123,0.2517467048512978,63837,0.16239877643469902,30055
test-121.points,141530.35076135292,110669.0,142530.91710071533,0.27886174774645944,78167,0.28790281922413086,28695
test-1210.points,136604.70275229367,110204.0,150673.9252588201,0.23956210983533865,71836,0.3672273715910501,27148
test-1211.points,134716.55930568956,108746.0,134614.10361366902,0.23881852487162347,85334,0.23787636891167518,29420
test-1212.points,141926.41289398275,111579.5,166190.25137490008,0.2719757024720737,135416,0.4894335552220621,32422
test-1213.points,137026.23569682153,107117.0,157632.55298652145,0.27922025165773445,63317,0.4715923054839237,29729
test-1214.points,130317.14352283317,106759.0,156228.26107036683,0.2206665810173678,87179,0.4633732150953722,36106
test-1215.points,144728.3394572988,111580.0,139866.84653047117,0.29708137172700133,70197,0.2535117989825342,29296
test-1216.points,142560.31466384328,111728.0,135917.8645649088,0.2759587092209945,115720,0.21650673568764156,51803
test-1217.points,136770.15384615384,108251.5,133316.62584773646,0.2634481170806302,99661,0.23154529819666658,41002
test-1218.points,142107.12161632016,112193.5,133316.62584773646,0.26662526453243873,91061,0.18827406086570497,31543
test-1219.points,141481.029549584,111927.0,125663.70614359173,0.264047366136714,106526,0.12272915510637938,41489
test-122.points,137073.84897616433,111908.0,137227.90870145577,0.22487980283951403,69759,0.22625646693226376,31252
test-1220.points,128540.2266462481,106389.5,121922.06929316626,0.20820406756539045,58229,0.14599720172729702,27668
test-1221.points,130482.40339302541,104122.5,133316.62584773646,0.2531624134363408,135056,0.2803824903141632,50028
test-1222.points,137885.87445716542,111020.0,142530.91710071533,0.2419913029829348,91240,0.2838309953226026,32153
test-1223.points,133010.22358346093,108104.5,130740.51987179283,0.23038563226749065,63935,0.20939017221108114,29928
test-1224.points,141993.71373536828,113696.0,121922.06929316626,0.24888926378560616,69083,0.07235143974428526,27743
test-1225.points,133526.9198202306,106190.5,137227.90870145577,0.2574281109913843,249311,0.29228046483871695,68338
test-1226.points,141796.8372501647,113204.0,152053.084433746,0.2525779764863849,74992,0.3431776653982721,32014
test-1227.points,134385.63011549978,108530.0,123162.99839133426,0.23823486699990593,237602,0.13482906469487022,73895
test-1228.points,134494.5544554455,106844.5,173494.45429449633,0.25878781271329365,78320,0.6238033244059951,31080
test-1229.points,134431.07572583057,108397.0,133316.62584773646,0.24017339710352292,77334,0.22989220963436674,29371
test-123.points,138589.37946338515,109720.5,145220.12041218817,0.2631129047296097,77618,0.3235459227053119,38034
test-1230.points,134512.47816805742,107330.0,134614.10361366902,0.2532607674280949,61315,0.2542076177552317,28493
test-1231.points,139709.62622740204,110032.5,125663.70614359173,0.2697123688673986,86758,0.14205990178894168,34768
test-1232.points,135083.749688244,110019.0,149301.04926920132,0.22782200972781053,81500,0.35704786690663726,28873
test-1233.points,139651.65435001682,109203.0,134614.10361366902,0.2788261709844677,72246,0.23269602129675038,27813
test-1234.points,143180.1219512195,111490.5,123162.99839133426,0.2842360734880507,83360,0.10469500442938418,29644
test-1235.points,135814.35294117645,110897.5,152053.084433746,0.2246836307507063,90997,0.37111372604202986,56794
test-1236.points,141140.04700494168,114421.0,133316.62584773646,0.23351523763069437,79650,0.1651412402245782,30513
test-1237.points,123955.19999999998,102377.5,121922.06929316626,0.21076603745940248,119716,0.19090688181647586,43381
test-1238.points,140792.28440366974,112479.5,128189.54663707792,0.25171506277739253,77264,0.13967031003052033,31076
test-1239.points,140868.77087707416,112379.0,159043.12808798326,0.2535150773460715,153668,0.41523886213601524,43198
test-124.points,131190.52146263907,104624.5,130740.51987179283,0.2539177865857334,67999,0.2496166755568039,27902
test-1240.points,141188.4744479495,111832.5,135917.8645649088,0.2624994920792212,80927,0.21536999141491786,28883
